Codigo,CodCompra,RubroC,Item,Stock,Precio,PrecioCba,Marca,Precio5
5851,EVOL2160,HERRAMIENTAS>DISCOS>LIJAS Y PULIDO>,DISCO DE GOMA Ø 115 MM.C /ABROJO,97,341,203.81,Publish,272
5850,247,HERRAMIENTAS>DISCOS>LIJAS Y PULIDO>,DISCO DE GOMA Ø 175 MM. 4800RPM C/CONTRATUERCA,0,1040,730.03,Publish,971
768,0668,HERRAMIENTAS>>>,"DISCO FEMIX DE 115X1,6 DE CARBURO DE SILICIO",0,134,48.28,Draft,65
1396,DAFL-2040,HERRAMIENTAS>DISCOS>FLAP>,DISCO FLAP DE LIJAS 115MM GRANO .40 SIN PAR,476,321,189.25,Publish,252
77,DAFL-2060,HERRAMIENTAS>DISCOS>FLAP>,DISCO FLAP DE LIJAS 115MM GRANO .60 SIN PAR,312,321,189.25,Publish,252
1378,DAFL-2080,HERRAMIENTAS>DISCOS>FLAP>,DISCO FLAP DE LIJAS 115MM GRANO .80 SIN PAR,260,321,189.25,Publish,252
1898,DAFL-2120,HERRAMIENTAS>DISCOS>FLAP>,DISCO FLAP DE LIJAS 115MM GRANO 120 SIN PAR,301,321,189.25,Publish,252
3265,EVOL2200,HERRAMIENTAS>DISCOS>FLAP>,DISCO FLAP OXIDO DE ALUM 115MM GR.40 ROTTWEILER,460,220,113.02,Publish,151
3266,EVOL2205,HERRAMIENTAS>DISCOS>FLAP>,DISCO FLAP OXIDO DE ALUM 115MM GR.60 ROTTWEILER,518,220,113.02,Publish,151
3267,EVOL2210,HERRAMIENTAS>DISCOS>FLAP>,DISCO FLAP OXIDO DE ALUM 115MM GR.80 ROTTWEILER,591,220,113.02,Publish,151
3268,EVOL2215,HERRAMIENTAS>DISCOS>FLAP>,DISCO FLAP OXIDO DE ALUM 115MM GR120 ROTTWEILER,520,220,113.02,Publish,151
5852,145,HERRAMIENTAS>DISCOS>LIJAS Y PULIDO>,DISCO LIJA C/SIST. VELCRO Ø 127 MM.GR. SURTIDOS,0,414,258.73,Publish,345
13,DARC-41115080,HERRAMIENTAS>DISCOS>DE CORTE>,"DISCO SIN PAR 115X0,80 MM CORTE",5822,146,57.21,Publish,77
19,DARC-41115120,HERRAMIENTAS>DISCOS>DE CORTE>,"DISCO SIN PAR 115X1,2 MM CORTE",12333,146,57.19,Publish,77
20,DARC-41115160,HERRAMIENTAS>DISCOS>DE CORTE>,"DISCO SIN PAR 115X1,6 MM CORTE",9822,146,57.19,Publish,77
21,DADD-27115600,HERRAMIENTAS>DISCOS>DE CORTE>,DISCO SIN PAR 115X6 MM DESBASTE,2140,244,131.24,Publish,175
24,DARC-41180180,HERRAMIENTAS>DISCOS>DE CORTE>,"DISCO SIN PAR 180X1,8 MM CORTE",1554,244,131.19,Publish,175
25,DADD-27180600,HERRAMIENTAS>DISCOS>DE CORTE>,DISCO SIN PAR 180X6 MM DESBASTE,42,453,288.42,Publish,384
29,DARC-41230180,HERRAMIENTAS>DISCOS>DE CORTE>,"DISCO SIN PAR 230X1,80 MM CORTE",1850,329,194.84,Publish,260
27,DARC-41300320,HERRAMIENTAS>DISCOS>DE CORTE>,"DISCO SIN PAR 300X3,2 MM CORTE",62,506,328.49,Publish,437
376,DARC-41350320,HERRAMIENTAS>DISCOS>DE CORTE>,"DISCO SIN PAR 350X3,2 MM CORTE",443,751,512.41,Publish,682
30,DARC-41400320,HERRAMIENTAS>DISCOS>DE CORTE>,"DISCO SIN PAR 400X3,2MM CORTE",32,896,621.55,Publish,827
1276,EVOL1780,HERRAMIENTAS>VARIOS>>,EMBUDO NEGRO CON PICO FLEXIBLE,150,361,243,Publish,292
1605,1605,HERRAMIENTAS>>>,EMBUDO PLASTICO 200MM EXTRA GRANDE,0,69,0,Draft,0
1881,1881,HERRAMIENTAS>>>,"ENGANCHE BOCHA CROMADA P/TRAILER 2"" X 3/4",0,5175,3838.9,Draft,5106
1806,5861,HERRAMIENTAS>ENGRAMPADORA>>,ENGRAMPADORA C/REGULADOR 4-14MM,4,1924,1545.48,Publish,1855
1114,2370,HERRAMIENTAS>ENGRAMPADORA>>,ENGRAMPADORA SIN REGULADOR,4,2493,1822.3,Publish,2424
6548,3075,HERRAMIENTAS>ESCALERAS>EXTENSIBLES>,ESCALERA EXTENSIBLE ALUM. 2X11 ESCALONES 6 MTS,0,28126,21095.02,Publish,28057
6549,3077,HERRAMIENTAS>ESCALERAS>EXTENSIBLES>,ESCALERA EXTENSIBLE ALUM. 2X13 ESCALONES 7 MTS,0,35200,26413.85,Publish,35131
6546,3071,HERRAMIENTAS>ESCALERAS>EXTENSIBLES>,"ESCALERA EXTENSIBLE ALUM. 2X7 ESCALONES 3,90 MTS",0,20065,15033.91,Publish,19996
6547,3073,HERRAMIENTAS>ESCALERAS>EXTENSIBLES>,"ESCALERA EXTENSIBLE ALUM. 2X9 ESCALONES 4,80 MTS",0,24110,18075.3,Publish,24041
6550,3022,HERRAMIENTAS>>>,"ESCALERA MULTIFUNCION ALUMINIO 3 X 4 DE 3,40 MTS.",0,14720,11015.79,Draft,14651
6551,3024,HERRAMIENTAS>ESCALERAS>MULTIFUNCION>,"ESCALERA MULTIFUNCION ALUMINIO 4 X 4 DE 4,45 MTS.",0,18124,13574.91,Draft,18055
6552,3044,HERRAMIENTAS>ESCALERAS>MULTIFUNCION>,"ESCALERA MULTIFUNCION ALUMINIO 5 X 4 DE 5,70 MTS.",0,23869,17894.64,Publish,23800
3200,EA3,HERRAMIENTAS>ESCALERAS>TIJERAS>,"ESCALERA TIJERA DE ALUMINIO 03 ESC. 0,75 MTS",1,6859,5104.53,Publish,6790
3201,EA4,HERRAMIENTAS>ESCALERAS>TIJERAS>,ESCALERA TIJERA DE ALUMINIO 04 ESC. 1 MTS,1,8763,6536.46,Publish,8694
3202,EA5,HERRAMIENTAS>ESCALERAS>TIJERAS>,"ESCALERA TIJERA DE ALUMINIO 05 ESC. 1,25 MTS",1,9987,7456.59,Publish,9918
3203,EA6,HERRAMIENTAS>ESCALERAS>TIJERAS>,"ESCALERA TIJERA DE ALUMINIO 06 ESC. 1,50 MTS",0,12177,9103.45,Publish,12108
3204,3204,HERRAMIENTAS>ESCALERAS>TIJERAS>,ESCALERA TIJERA DE ALUMINIO 07 ESC. 1.75 MTS,0,13836,10350.71,Draft,13767
3205,EA8,HERRAMIENTAS>ESCALERAS>TIJERAS>,ESCALERA TIJERA DE ALUMINIO 08 ESC. 2 MTS,2,14943,11183.29,Publish,14874
3206,EA10,HERRAMIENTAS>ESCALERAS>TIJERAS>,"ESCALERA TIJERA DE ALUMINIO 10 ESC. 2,50 MTS",2,18398,13780.51,Publish,18329
3207,EA12,HERRAMIENTAS>ESCALERAS>TIJERAS>,ESCALERA TIJERA DE ALUMINIO 12 ESC. 3.00 MTS,1,21852,16377.75,Publish,21783
2766,9164,HERRAMIENTAS>ESCOBILLAS>COPA>,"ESCOBILLA COPA DE ACERO 3""  P/AMOLADORA",26,574,379.5,Publish,505
2767,EVOL5112,HERRAMIENTAS>ESCOBILLAS>COPA>,"ESCOBILLA COPA DE ACERO 4"" P/AMOLADORA ROTTWEILER",40,950,734.03,Publish,881
1832,EVOL5113,HERRAMIENTAS>ESCOBILLAS>COPA>,"ESCOBILLA COPA DE ACERO 5"" P/AMOLADORA ROTTWEILER",12,1304,1029.07,Publish,1235
932,EVOL5101,HERRAMIENTAS>ESCOBILLAS>COPA>,"ESCOBILLA COPA DE BRONCE 3"" P/AMOLADORA ROTTWEILER",78,537,389.35,Publish,468
1668,EVOL5102,HERRAMIENTAS>ESCOBILLAS>COPA>,"ESCOBILLA COPA DE BRONCE 4"" P/AMOLADORA ROTTWEILER",53,840,641.89,Publish,771
1964,EVOL5103,HERRAMIENTAS>ESCOBILLAS>COPA>,"ESCOBILLA COPA DE BRONCE 5"" P/AMOLADORA ROTTWEILER",28,1214,953.89,Publish,1145
684,CI-172-50,HERRAMIENTAS>ESCOBILLAS>PARA TALADRO>,ESCOBILLA DE BRONCE P/TALADRO BLISTER X 3 UNID.,24,639,428.16,Publish,570
